index,labels,comment_sentence,comment_clean,combo,combo_clean
5889,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which data to retrieve for each Entity,encapsulates information regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5890,"[1, 0, 1, 0, 1, 0, 0]",capsule Information view which data to retrieve for apiece entity,capsule information view data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5891,"[1, 0, 1, 0, 1, 0, 0]",capsulize information regarding which data to find for each entity,capsulize information regarding data find entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5892,"[1, 0, 1, 0, 1, 0, 0]",encapsulates Information Regarding Which data to retrieve for each Entity,encapsulates information regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5893,"[1, 0, 1, 0, 1, 0, 0]",encapsulates entropy regarding which information To retrieve for each entity,encapsulates entropy regarding information retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5894,"[1, 0, 1, 0, 1, 0, 0]",encapsulates data regarding Which data to retrieve for Each Entity,encapsulates data regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5895,"[1, 0, 1, 0, 1, 0, 0]",encapsulates entropy regarding which data to remember for apiece Entity,encapsulates entropy regarding data remember apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5896,"[1, 0, 1, 0, 1, 0, 0]",encapsulates info regarding which data to Retrieve for each entity,encapsulates info regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5897,"[1, 0, 1, 0, 1, 0, 0]",capsulize information regarding which data to retrieve for apiece entity,capsulize information regarding data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5898,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information Regarding which data to retrieve for apiece entity,encapsulates information regarding data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5899,"[1, 0, 1, 0, 1, 0, 0]",capsule info Regarding which data to recall for apiece entity,capsule info regarding data recall apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5900,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which Data to remember for apiece Entity,encapsulates information regarding data remember apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5901,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which datum to regain for each entity,encapsulates information regarding datum regain entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5902,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which Data to retrieve for apiece entity,encapsulates information regarding data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5903,"[1, 0, 1, 0, 1, 0, 0]",capsule information regarding which data to retrieve for each entity,capsule information regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5904,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information reckon which data to retrieve for each entity,encapsulates information reckon data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5905,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information consider which data to retrieve for each Entity,encapsulates information consider data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5906,"[1, 0, 1, 0, 1, 0, 0]",encapsulates entropy regarding Which information to Retrieve for Each entity,encapsulates entropy regarding information retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5907,"[1, 0, 1, 0, 1, 0, 0]",encapsulate information regarding which data to remember for Each entity,encapsulate information regarding data remember entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5908,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which information to recover for each entity,encapsulates information regarding information recover entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5909,"[1, 0, 1, 0, 1, 0, 0]",encapsulates entropy regarding which data To retrieve for each entity,encapsulates entropy regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5910,"[1, 0, 1, 0, 1, 0, 0]",encapsulates Information reckon which data to retrieve for apiece entity,encapsulates information reckon data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5911,"[1, 0, 1, 0, 1, 0, 0]",Encapsulates info regarding Which data to retrieve for each entity,encapsulates info regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5912,"[1, 0, 1, 0, 1, 0, 0]",encapsulates data Regarding which data to regain for each entity,encapsulates data regarding data regain entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5913,"[1, 0, 1, 0, 1, 0, 0]",encapsulate information regarding which information to recover for apiece Entity,encapsulate information regarding information recover apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5914,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which information to retrieve for each entity,encapsulates information regarding information retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5915,"[1, 0, 1, 0, 1, 0, 0]",capsule entropy Regarding which data to retrieve for Each Entity,capsule entropy regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5916,"[1, 0, 1, 0, 1, 0, 0]",capsulize Information view which information to Retrieve for each entity,capsulize information view information retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5917,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regard which information to Retrieve for each entity,encapsulates information regard information retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5918,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding Which information to recall for Each Entity,encapsulates information regarding information recall entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5919,"[1, 0, 1, 0, 1, 0, 0]",encapsulates Information regarding which data to recover for apiece entity,encapsulates information regarding data recover apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5920,"[1, 0, 1, 0, 1, 0, 0]",Encapsulates information regarding which data To recollect for each entity,encapsulates information regarding data recollect entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5921,"[1, 0, 1, 0, 1, 0, 0]",Encapsulates information regarding which datum to Retrieve for each entity,encapsulates information regarding datum retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5922,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding Which datum to retrieve for each entity,encapsulates information regarding datum retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5923,"[1, 0, 1, 0, 1, 0, 0]",capsulise information regarding which Data to recollect for Each Entity,capsulise information regarding data recollect entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5924,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which information to retrieve for apiece entity,encapsulates information regarding information retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5925,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which data to retrieve for apiece entity,encapsulates information regarding data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5926,"[1, 0, 1, 0, 1, 0, 0]",Encapsulates information reckon which information to Retrieve for Each entity,encapsulates information reckon information retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5927,"[1, 0, 1, 0, 1, 0, 0]",Encapsulates information regarding which data to retrieve for apiece Entity,encapsulates information regarding data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5928,"[1, 0, 1, 0, 1, 0, 0]",capsulize information Regarding which data to retrieve for apiece entity,capsulize information regarding data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5929,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which data To retrieve for each entity,encapsulates information regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5930,"[1, 0, 1, 0, 1, 0, 0]",encapsulates data regarding which data to retrieve for each entity,encapsulates data regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5931,"[1, 0, 1, 0, 1, 0, 0]",encapsulates Information regarding which Data to retrieve for Each entity,encapsulates information regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5932,"[1, 0, 1, 0, 1, 0, 0]",Encapsulates information Regarding which data to retrieve for each entity,encapsulates information regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5933,"[1, 0, 1, 0, 1, 0, 0]",encapsulates entropy regarding which data to retrieve for each Entity,encapsulates entropy regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5934,"[1, 0, 1, 0, 1, 0, 0]",capsulise information regarding Which data to retrieve for apiece entity,capsulise information regarding data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5935,"[1, 0, 1, 0, 1, 0, 0]",encapsulates info reckon which datum to retrieve for each Entity,encapsulates info reckon datum retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5936,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information involve which Data to think for apiece entity,encapsulates information involve data think apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5937,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information Regarding which information to retrieve for apiece entity,encapsulates information regarding information retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5938,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which data to think for each entity,encapsulates information regarding data think entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5939,"[1, 0, 1, 0, 1, 0, 0]",encapsulates info regarding which data to retrieve for apiece entity,encapsulates info regarding data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5940,"[1, 0, 1, 0, 1, 0, 0]",encapsulates entropy regarding which information to remember for each Entity,encapsulates entropy regarding information remember entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5941,"[1, 0, 1, 0, 1, 0, 0]",capsulize information Regarding which data to Retrieve for Each entity,capsulize information regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5942,"[1, 0, 1, 0, 1, 0, 0]",encapsulates data regard which datum to recall for Each entity,encapsulates data regard datum recall entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5943,"[1, 0, 1, 0, 1, 0, 0]",capsule information regarding which information to recall for apiece entity,capsule information regarding information recall apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5944,"[1, 0, 1, 0, 1, 0, 0]",encapsulates Information regarding which Data to retrieve for each entity,encapsulates information regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5945,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information involve Which data to retrieve for each entity,encapsulates information involve data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5946,"[1, 0, 1, 0, 1, 0, 0]",capsulize Information regarding which Data to retrieve for apiece entity,capsulize information regarding data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5947,"[1, 0, 1, 0, 1, 0, 0]",capsule entropy regarding which data to retrieve for apiece entity,capsule entropy regarding data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5948,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which datum to retrieve for apiece entity,encapsulates information regarding datum retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5949,"[1, 0, 1, 0, 1, 0, 0]",encapsulates data regarding Which datum to Retrieve for apiece entity,encapsulates data regarding datum retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5950,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information consider which data to recollect for apiece Entity,encapsulates information consider data recollect apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5951,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which data to regain for apiece entity,encapsulates information regarding data regain apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5952,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which Data to recover for apiece entity,encapsulates information regarding data recover apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5953,"[1, 0, 1, 0, 1, 0, 0]",encapsulates data regarding Which information to retrieve for apiece entity,encapsulates data regarding information retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5954,"[1, 0, 1, 0, 1, 0, 0]",capsule data regarding which data to Retrieve for apiece entity,capsule data regarding data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5955,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regard which data to retrieve for each Entity,encapsulates information regard data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5956,"[1, 0, 1, 0, 1, 0, 0]",capsule information regarding which information to retrieve for apiece entity,capsule information regarding information retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5957,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which data to think for apiece Entity,encapsulates information regarding data think apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5958,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information regarding which Data to retrieve for each entity,encapsulates information regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5959,"[1, 0, 1, 0, 1, 0, 0]",Encapsulates information regarding which data to retrieve for each entity,encapsulates information regarding data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5960,"[1, 0, 1, 0, 1, 0, 0]",encapsulates information affect Which data to Retrieve for apiece entity,encapsulates information affect data retrieve apiece entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5961,"[1, 0, 1, 0, 1, 0, 0]",capsulize information consider which Data to retrieve for each entity,capsulize information consider data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5962,"[1, 0, 1, 0, 1, 0, 0]",capsule information regard which data to Retrieve for each entity,capsule information regard data retrieve entity,encapsulates information regarding which data to retrieve for each entity | TimelineDataToRetrieve.java,encapsulates information regarding data retrieve entity | timelinedatatoretrieve java
5963,"[0, 0, 0, 1, 0, 1, 0]",the result of the variations on compilation arguments means that approximately of the,result variation compilation argument mean approximately,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5964,"[0, 0, 0, 1, 0, 1, 0]",the lead of the variations on compilation controversy signify that some of the,lead variation compilation controversy signify,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5965,"[0, 0, 0, 1, 0, 1, 0]",The resolution of the variations on Compilation arguments means That some of the,resolution variation compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5966,"[0, 0, 0, 1, 0, 1, 0]",the result of the Variations on compilation arguments intend that roughly of the,result variation compilation argument intend roughly,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5967,"[0, 0, 0, 1, 0, 1, 0]",The result of the sport on compilation Arguments way that some of the,result sport compilation argument way,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5968,"[0, 0, 0, 1, 0, 1, 0]",the result of The variations on compilation contestation means that some of the,result variation compilation contestation mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5969,"[0, 0, 0, 1, 0, 1, 0]",The leave Of the variance on compilation controversy Means that around of the,leave variance compilation controversy mean around,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5970,"[0, 0, 0, 1, 0, 1, 0]",the termination of The variations on compilation parameter means that some of the,termination variation compilation parameter mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5971,"[0, 0, 0, 1, 0, 1, 0]",the result of the variations on compilation controversy signify that some of the,result variation compilation controversy signify,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5972,"[0, 0, 0, 1, 0, 1, 0]",The Result of the variations On digest arguments mean that approximately of the,result variation digest argument mean approximately,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5973,"[0, 0, 0, 1, 0, 1, 0]",the effect of the variations on compiling arguments means that some of the,effect variation compiling argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5974,"[0, 0, 0, 1, 0, 1, 0]",the event of the Variations on compilation arguments means that some of the,event variation compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5975,"[0, 0, 0, 1, 0, 1, 0]",the result of the variant on compilation contention mean that Some Of the,result variant compilation contention mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5976,"[0, 0, 0, 1, 0, 1, 0]",the result of The variations on Compilation arguments Means that Some of the,result variation compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5977,"[0, 0, 0, 1, 0, 1, 0]",the result of the variations on compilation arguments means that some Of the,result variation compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5978,"[0, 0, 0, 1, 0, 1, 0]",the result of the variations On compilation contestation means That some of the,result variation compilation contestation mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5979,"[0, 0, 0, 1, 0, 1, 0]",the result of the variations on Compilation arguments means that some of the,result variation compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5980,"[0, 0, 0, 1, 0, 1, 0]",the result of the variations on digest arguments means that some of the,result variation digest argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5981,"[0, 0, 0, 1, 0, 1, 0]",The Result of the variations on Compilation arguments signify that some of the,result variation compilation argument signify,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5982,"[0, 0, 0, 1, 0, 1, 0]",the result of the variations on digest parameter imply that some of the,result variation digest parameter imply,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5983,"[0, 0, 0, 1, 0, 1, 0]",the result of the variations on digest Arguments means that some of the,result variation digest argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5984,"[0, 0, 0, 1, 0, 1, 0]",the result Of the variations On compilation arguments means that some of the,result variation compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5985,"[0, 0, 0, 1, 0, 1, 0]",The Result of the variations on compilation line means that Some of the,result variation compilation line mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5986,"[0, 0, 0, 1, 0, 1, 0]",the effect of The variations on compilation arguments means that some of the,effect variation compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5987,"[0, 0, 0, 1, 0, 1, 0]",the Result of the variation On Compilation arguments Means that some of the,result variation compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5988,"[0, 0, 0, 1, 0, 1, 0]",the result of the fluctuation on Compilation debate means that some Of the,result fluctuation compilation debate mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5989,"[0, 0, 0, 1, 0, 1, 0]",the result of The variations on compilation arguments means that some of the,result variation compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5990,"[0, 0, 0, 1, 0, 1, 0]",the result of the variations on compiling debate means that some of the,result variation compiling debate mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5991,"[0, 0, 0, 1, 0, 1, 0]",The result of the sport on compilation arguments means That some of the,result sport compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5992,"[0, 0, 0, 1, 0, 1, 0]",the Result Of the variations on compilation arguments means that approximately of The,result variation compilation argument mean approximately,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5993,"[0, 0, 0, 1, 0, 1, 0]",the result of the variations on compilation arguments Means that Some of The,result variation compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5994,"[0, 0, 0, 1, 0, 1, 0]",the solution of the version on compilation arguments Means that some of the,solution version compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5995,"[0, 0, 0, 1, 0, 1, 0]",the result of the variations on Compilation argumentation means that some of the,result variation compilation argumentation mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5996,"[0, 0, 0, 1, 0, 1, 0]",the result Of the variant on digest arguments entail that some of the,result variant digest argument entail,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5997,"[0, 0, 0, 1, 0, 1, 0]",the resultant of The variations on compiling arguments means that some of the,resultant variation compiling argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5998,"[0, 0, 0, 1, 0, 1, 0]",the result of the mutant on compilation arguments signify that some of the,result mutant compilation argument signify,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
5999,"[0, 0, 0, 1, 0, 1, 0]",the answer of the variations on compilation arguments means that some of the,answer variation compilation argument mean,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
6000,"[0, 0, 0, 1, 0, 1, 0]",the result of the Variations on digest arguments means that approximately of The,result variation digest argument mean approximately,the result of the variations on compilation arguments means that some of the | SourceLookupTest.java,result variation compilation argument mean | sourcelookuptest java
